RPM,MAP,FGP,MAF
946,87,23580,11.42
947,87,23730,11.52
950.75,87,25820,11.87
945.5,87,24510,11.26
951.25,87,25050,11.38
950,87,26700,11.9
949.5,87,25870,10.98
949,87,26180,11.44
951,87,26810,11.05
949.25,87,25930,11.41
947.25,87,26050,11.48
950.25,87,26510,11.23
947.5,87,25000,11.77
950.25,87,23490,11.6
946.75,87,24140,11.46
947.5,87,25680,11.56
949,87,26640,11.53
949.5,87,26510,11.81
949,87,26170,11
949.5,87,24760,11.71
949.25,87,24020,11.6
942.5,87,23730,11.54
951.25,87,24730,11.68
949.75,87,26210,11.59
948,87,25970,11.57
947.25,87,26510,11.66
946.5,87,25700,11.43
942.75,87,26030,11.37
950,87,24540,11.7
950.25,87,25020,11.63
949.75,87,24190,11.25
950.5,87,23460,11.35
948,87,23630,11.63
946.25,87,23690,11.59
951.25,87,23550,11.51
950.75,87,24560,11.39
950.75,87,26000,11.52
949.5,87,26600,11.76
949.75,87,26760,11.64
942.25,87,26480,11.57
950.75,87,24740,11.67
950,87,24560,11.47
1137.75,87,36650,14.85
1429.25,91,35980,19.22
1430.25,95,38320,19.61
1497.75,97,38940,20.62
1569,99,40890,21.63
1640.75,102,41920,23.08
1689.75,104,42210,24.1
1729.5,106,42840,24.63
1758.5,107,43550,24.34
1781.25,108,45010,25.25
1800.5,109,45530,26.06
1825.25,110,45530,26.97
1853.75,111,47330,27.02
1875.5,112,47660,27.6
1886.25,113,48240,28.76
1893,114,48400,28.82
1900.25,115,49070,28.47
1918.75,116,49280,28.64
1942.5,117,50360,29.49
1952.25,118,50440,30.93
1958.25,118,51170,30.42
1980.25,119,50930,31.17
1987.5,120,51360,31.49
2002.25,120,51720,31.72
2041.75,121,55450,32.27
2113.5,123,56450,34.38
2113.5,125,52460,34.13
2039.5,124,51210,32.26
2012.5,122,51810,31.72
2022.75,122,53440,31.53
2084.75,123,57070,34.26
2180.75,126,58980,36.53
2188,128,55170,36.3
2111.5,127,52910,33.93
2045,125,51930,32.85
2027.5,124,51780,32.18
2022.75,123,51370,31.95
2013.5,122,51140,32.07
2004.25,121,50730,31.81
1994,121,50260,31.6
1976.5,120,50050,30.54
1967.75,120,50080,30.78
1962.75,119,49410,30.2
1958.25,119,49260,30.02
1954.5,119,49340,31.01
1949,118,48860,29.8
1943.5,118,48830,29.72
1940.75,118,48940,29.97
1940.75,118,48490,29.39
1933.75,117,47970,28.48
1931,117,47720,29.1
1933.25,116,47150,28.95
1916.75,116,46640,28.56
1903.75,114,45950,28.15
1887.75,113,45070,27.6
1870.75,112,45090,27.46
1857.5,111,43550,27.05
1817.75,110,41470,25.64
1777.75,107,41060,24.37
1738,106,40130,24.67
1698,105,39700,23.35
1669,104,39510,23.21
1639.25,103,38300,22.77
1587,102,37040,21.41
1514,100,36200,20.68
1445.75,99,35980,19.91
1430,98,36040,19.85
1431,98,36180,19.43
1423.75,98,35030,19.42
1381.5,97,34660,18.54
1362.75,97,33860,18.57
1330,96,34190,17.97
1296.75,95,33260,17.29
1206.25,95,29930,15.94
1128,93,29690,14.51
1129.25,91,29660,14.75
1111.25,91,28530,13.81
1020.25,90,28070,12.69
898,89,26240,11.29
933.25,88,23990,11.24
931.75,87,25970,11.3
932.5,87,25240,11.15
934.25,87,23550,11.58
935,87,25420,11.33
933.5,87,26810,11.1
939.5,87,24480,11.32
940.5,87,23800,11.3
942.5,87,23610,10.9
939.5,87,24290,11.27
941.75,87,24930,11.45
943.25,87,25820,11.25
1379.75,89,38080,18.57
1512,94,38090,20.32
1554.25,99,39620,21.28
1635.25,102,42180,22.52
1688.75,104,42630,24.28
1714.5,107,43210,24.14
1748,107,44100,24.58
1799.25,106,45160,24.62
1839,107,45190,25.04
1861.25,107,45610,26.57
1915.5,107,46360,26.44
1950.25,107,46230,27.76
1985.5,107,47020,28.55
1999.75,107,47360,27.73
2015.5,106,46960,27.92
2021.25,106,48080,27.91
2028.75,106,48020,27.77
2036.25,106,49060,27.78
2045,107,49030,27.86
2052,107,49430,28.04
2068.5,108,50930,29.32
2085,108,51600,29.84
2115.75,109,52830,30.07
2159.75,110,55020,29.76
2217.25,110,55150,31.82
2240.5,109,55410,31.6
2261.25,109,55730,31.85
2286.75,109,56090,32.27
2303,109,56430,32.03
2322.5,109,56730,32.57
2330.25,109,56620,32.45
2342.75,109,57140,32.94
2373.5,110,59580,33.77
2425,111,61060,34.67
2491,111,61880,35
2550.5,112,61190,36.05
2559,110,61470,35.89
2559,109,61330,35.56
2557.5,109,61310,35.6
2557.5,110,61270,35.67
2558.75,110,61330,34.99
2557.75,110,61730,36.12
2557.5,110,61350,35.75
2557.75,110,61380,35.78
2541.25,109,59110,36
2490.25,108,58200,33.85
2455.75,107,57670,34.01
2421.5,108,57030,33.77
2395.25,108,56760,33.16
2372.5,108,56350,33.25
2354.5,108,56020,32.87
2347.25,108,55590,31.75
2338.5,107,55360,32.3
2326.25,107,54740,32.39
2310.5,107,54380,31.9
2290.25,106,53410,30.85
2258.75,106,52460,30.97
2222.5,106,51670,30.29
2203,106,51350,30.35
2179.75,106,50260,29.67
2164.25,105,49830,29.06
2120.5,108,48000,29.9
2025.75,112,46580,29.72
1996.5,112,46290,28.93
1975.25,113,45800,27.87
1962.25,113,46040,27.83
1955.25,113,46210,28.31
1951,113,45920,27.59
1945.5,113,46100,28.44
1933.75,112,45770,28.3
1929.25,112,45560,27.43
1918.25,112,45360,27.24
1910.25,112,45350,26.77
1901,112,45090,27.4
1897,111,44850,27.4
1883.5,111,43820,27.48
1871.25,111,43700,26.42
1854,110,42670,26.16
1838.75,109,42500,25.77
1832.5,108,42190,25.14
1814,108,40860,25.42
1774.75,107,40210,24.65
1741.75,106,39790,23.6
1718.5,105,39700,23.35
1699.25,104,39470,23.18
1680.75,104,39150,22.59
1663.5,104,39130,22.24
1651.75,103,38960,22.04
1638.25,103,39090,22.25
1613.25,103,37570,21.88
1574,102,36540,21.13
1525.25,101,36520,20.65
1483,100,35910,20.27
1456.75,99,36200,19.8
1452.75,99,36320,19.83
1449.25,99,36320,19.7
1443.75,99,36320,19.29
1443,99,35710,19.69
1427,98,35000,19.06
1387.5,98,34330,18.75
1354,97,34450,17.93
1338.5,96,34210,17.83
1332,96,34200,17.67
1319.75,96,33440,17.47
1300.25,95,33390,17.36
1286,95,33370,17.05
1275,95,32980,16.55
1227,94,31400,15.81
